Acad recording => read According two_two   
Banks reach => ranks Beach one_one   
Banks teach => tanks Beach one_one   
Banks tell => tanks Bell one_one   
Banks ten => tanks Ben one_one   
Banks till => tanks Bill one_one   
Banks took => tanks Book one_one   
Banks torn => tanks Born one_one   
Bar Fig => Far Big one_one   
Bar Fox => Far Box one_one   
Bar Full => Far Bull one_one   
Bar Way => War Bay one_one   
Bar Way => War Bay two_two   
Bar Well => War Bell one_one   
Bar Will => War Bill one_one   
Bar cattle => car Battle one_one   
Bar cattle => car Battle two_two   
Bar cell => car Bell one_one   
Bar corn => car Born one_one   
Bar crown => car Brown one_one   
Bar cut => car But one_one   
Bar deck => der Back two_two   
Bar fell => far Bell one_one   
Bar fig => far Big one_one   
Bar fill => far Bill one_one   
Bar full => far Bull one_one   
Bar pack => par Back one_one   
Bar pack => par Back two_two   
Bar pay => par Bay one_one   
Bar pay => par Bay two_two   
Bar pen => par Ben one_one   
Bar posed => por Based two_two   
Bar pull => par Bull one_one   
Bar put => par But one_one   
Bar sick => sir Back two_two   
Bar sink => sir Bank two_two   
Bar sunk => sur Bank two_two   
Bar way => war Bay one_one   
Bar way => war Bay two_two   
Bar well => war Bell one_one   
Bar will => war Bill one_one   
Bar worn => war Born one_one   
Based por => posed Bar two_two   
Battle car => cattle Bar one_one   
Battle car => cattle Bar two_two   
Battle cell => cattle Bell one_one   
Battle corn => cattle Born one_one   
Battle crown => cattle Brown one_one   
Battle cut => cattle But one_one   
Bay Men => May Ben one_one   
Bay Mill => May Bill one_one   
Bay Rock => Roy Back two_two   
Bay Roy => Ray Boy one_one   
Bay War => Way Bar one_one   
Bay War => Way Bar two_two   
Bay Well => Way Bell one_one   
Bay Will => Way Bill one_one   
Bay den => day Ben one_one   
Bay dull => day Bull one_one   
Bay grown => gay Brown one_one   
Bay hell => hay Bell one_one   
Bay hill => hay Bill one_one   
Bay horn => hay Born one_one   
Bay hut => hay But one_one   
Bay maker => may Baker one_one   
Bay maker => may Baker two_two   
Bay men => may Ben one_one   
Bay mill => may Bill one_one   
Bay mob => may Bob one_one   
Bay pack => pay Back one_one   
Bay pack => pay Back two_two   
Bay par => pay Bar one_one   
Bay par => pay Bar two_two   
Bay pen => pay Ben one_one   
Bay pull => pay Bull one_one   
Bay put => pay But one_one   
Bay rank => ray Bank one_one   
Bay rank => ray Bank two_two   
Bay ranks => ray Banks one_one   
Bay ranks => ray Banks two_two   
Bay reach => ray Beach one_one   
Bay sank => say Bank one_one   
Bay sank => say Bank two_two   
Bay sell => say Bell one_one   
Bay silly => say Billy one_one   
Bay war => way Bar one_one   
Bay war => way Bar two_two   
Bay well => way Bell one_one   
Bay will => way Bill one_one   
Bay worn => way Born one_one   
Beach con => coach Ben two_two   
Beach rank => reach Bank one_one   
Beach ranks => reach Banks one_one   
Beach ray => reach Bay one_one   
Beach tank => teach Bank one_one   
Beach tanks => teach Banks one_one   
Beach tell => teach Bell one_one   
Beach tell => teach Bell two_two   
Beach ten => teach Ben one_one   
Beach ten => teach Ben two_two   
Beach till => teach Bill one_one   
Beach took => teach Book one_one   
Beach torn => teach Born one_one   
Being own => owing Ben two_two   
Bell Cook => Cell Book one_one   
Bell Crown => Cell Brown one_one   
Bell Ten => Tell Ben one_one   
Bell Ten => Tell Ben two_two   
Bell War => Well Bar one_one   
Bell Way => Well Bay one_one   
Bell Will => Well Bill one_one   
Bell can => call Ben two_two   
Bell car => cell Bar one_one   
Bell cattle => cell Battle one_one   
Bell corn => cell Born one_one   
Bell crown => cell Brown one_one   
Bell cut => cell But one_one   
Bell fan => fall Ben two_two   
Bell far => fell Bar one_one   
Bell fig => fell Big one_one   
Bell fill => fell Bill one_one   
Bell full => fell Bull one_one   
Bell fun => full Ben two_two   
Bell hay => hell Bay one_one   
Bell hill => hell Bill one_one   
Bell horn => hell Born one_one   
Bell hut => hell But one_one   
Bell min => mill Ben two_two   
Bell sank => sell Bank one_one   
Bell say => sell Bay one_one   
Bell silly => sell Billy one_one   
Bell tank => tell Bank one_one   
Bell tanks => tell Banks one_one   
Bell teach => tell Beach one_one   
Bell teach => tell Beach two_two   
Bell ten => tell Ben one_one   
Bell ten => tell Ben two_two   
Bell till => tell Bill one_one   
Bell tin => till Ben two_two   
Bell took => tell Book one_one   
Bell torn => tell Born one_one   
Bell war => well Bar one_one   
Bell way => well Bay one_one   
Bell will => well Bill one_one   
Bell win => will Ben two_two   
Bell worn => well Born one_one   
Ben May => Men Bay one_one   
Ben Mill => Men Bill one_one   
Ben Tell => Ten Bell one_one   
Ben Tell => Ten Bell two_two   
Ben call => can Bell two_two   
Ben coach => con Beach two_two   
Ben day => den Bay one_one   
Ben dull => den Bull one_one   
Ben fall => fan Bell two_two   
Ben full => fun Bell two_two   
Ben maker => men Baker one_one   
Ben may => men Bay one_one   
Ben mill => men Bill one_one   
Ben mill => min Bell two_two   
Ben mob => men Bob one_one   
Ben owing => own Being two_two   
Ben pack => pen Back one_one   
Ben par => pen Bar one_one   
Ben pay => pen Bay one_one   
Ben pull => pen Bull one_one   
Ben put => pen But one_one   
Ben tank => ten Bank one_one   
Ben tanks => ten Banks one_one   
Ben teach => ten Beach one_one   
Ben teach => ten Beach two_two   
Ben tell => ten Bell one_one   
Ben tell => ten Bell two_two   
Ben till => ten Bill one_one   
Ben till => tin Bell two_two   
Ben took => ten Book one_one   
Ben torn => ten Born one_one   
Ben will => win Bell two_two   
Bible call => cable Bill two_two   
Bible tall => table Bill two_two   
Big Far => Fig Bar one_one   
Big Fox => Fig Box one_one   
Big Full => Fig Bull one_one   
Big dull => dug Bill two_two   
Big far => fig Bar one_one   
Big fell => fig Bell one_one   
Big fill => fig Bill one_one   
Big fill => fig Bill two_two   
Big full => fig Bull one_one   
Bill Early => Earl Billy three_three   
Bill May => Mill Bay one_one   
Bill Men => Mill Ben one_one   
Bill War => Will Bar one_one   
Bill Way => Will Bay one_one   
Bill Well => Will Bell one_one   
Bill cable => call Bible two_two   
Bill dug => dull Big two_two   
Bill far => fill Bar one_one   
Bill fell => fill Bell one_one   
Bill fig => fill Big one_one   
Bill fig => fill Big two_two   
Bill full => fill Bull one_one   
Bill fully => full Billy two_two   
Bill fully => full Billy three_three   
Bill hay => hill Bay one_one   
Bill hell => hill Bell one_one   
Bill horn => hill Born one_one   
Bill hut => hill But one_one   
Bill maker => mill Baker one_one   
Bill may => mill Bay one_one   
Bill men => mill Ben one_one   
Bill mob => mill Bob one_one   
Bill table => tall Bible two_two   
Bill tank => till Bank one_one   
Bill tanks => till Banks one_one   
Bill teach => till Beach one_one   
Bill tell => till Bell one_one   
Bill ten => till Ben one_one   
Bill took => till Book one_one   
Bill torn => till Born one_one   
Bill war => will Bar one_one   
Bill way => will Bay one_one   
Bill well => will Bell one_one   
Bill worn => will Born one_one   
Billy Earl => Early Bill three_three   
Billy full => fully Bill two_two   
Billy full => fully Bill three_three   
Billy sank => silly Bank one_one   
Billy say => silly Bay one_one   
Billy sell => silly Bell one_one   
Black true => track Blue two_two   
Blue track => true Black two_two   
Board guy => guard Boy two_two   
Bob Jack => Job Back one_one   
Bob joy => job Boy one_one   
Bob joy => job Boy two_two   
Bob maker => mob Baker one_one   
Bob may => mob Bay one_one   
Bob men => mob Ben one_one   
Bob mill => mob Bill one_one   
Book Cell => Cook Bell one_one   
Book Crown => Cook Brown one_one   
Book tank => took Bank one_one   
Book tanks => took Banks one_one   
Book teach => took Beach one_one   
Book tell => took Bell one_one   
Book ten => took Ben one_one   
Book till => took Bill one_one   
Book torn => took Born one_one   
Book torn => took Born two_two   
Born car => corn Bar one_one   
Born cattle => corn Battle one_one   
Born cell => corn Bell one_one   
Born crown => corn Brown one_one   
Born cut => corn But one_one   
Born hay => horn Bay one_one   
Born hell => horn Bell one_one   
Born hill => horn Bill one_one   
Born hut => horn But one_one   
Born tank => torn Bank one_one   
Born tanks => torn Banks one_one   
Born teach => torn Beach one_one   
Born tell => torn Bell one_one   
Born ten => torn Ben one_one   
Born till => torn Bill one_one   
Born took => torn Book one_one   
Born took => torn Book two_two   
Born war => worn Bar one_one   
Born way => worn Bay one_one   
Born well => worn Bell one_one   
Born will => worn Bill one_one   
Both hay => hath Boy two_two   
Both pay => path Boy two_two   
Box Far => Fox Bar one_one   
Box Fig => Fox Big one_one   
Box Full => Fox Bull one_one   
Box May => Max Boy two_two   
Box way => wax Boy two_two   
Boy Max => May Box two_two   
Boy Ray => Roy Bay one_one   
Boy guard => guy Board two_two   
Boy hath => hay Both two_two   
Boy job => joy Bob one_one   
Boy job => joy Bob two_two   
Boy path => pay Both two_two   
Boy wax => way Box two_two   
Brown Cell => Crown Bell one_one   
Brown Cook => Crown Book one_one   
Brown car => crown Bar one_one   
Brown cattle => crown Battle one_one   
Brown cell => crown Bell one_one   
Brown corn => crown Born one_one   
Brown cut => crown But one_one   
Brown gay => grown Bay one_one   
Bull Far => Full Bar one_one   
Bull Fig => Full Big one_one   
Bull Fox => Full Box one_one   
Bull Hitler => Hill Butler two_two   
Bull cat => call But two_two   
Bull day => dull Bay one_one   
Bull den => dull Ben one_one   
Bull far => full Bar one_one   
Bull fat => fall But two_two   
Bull fell => full Bell one_one   
Bull fig => full Big one_one   
Bull fill => full Bill one_one   
Bull fit => fill But two_two   
Bull hat => hall But two_two   
Bull hit => hill But two_two   
Bull mit => mill But two_two   
Bull pack => pull Back one_one   
Bull par => pull Bar one_one   
Bull pay => pull Bay one_one   
Bull pen => pull Ben one_one   
Bull put => pull But one_one   
Bull put => pull But two_two   
Bull set => sell But two_two   
Bull wet => well But two_two   
Bull wit => will But two_two   
But call => cat Bull two_two   
But car => cut Bar one_one   
But cattle => cut Battle one_one   
But cell => cut Bell one_one   
But corn => cut Born one_one   
But crown => cut Brown one_one   
But fall => fat Bull two_two   
But fill => fit Bull two_two   
But hall => hat Bull two_two   
But hay => hut Bay one_one   
But hell => hut Bell one_one   
But hill => hut Bill one_one   
But hill => hit Bull two_two   
But horn => hut Born one_one   
But mill => mit Bull two_two   
But pack => put Back one_one   
But par => put Bar one_one   
But pay => put Bay one_one   
But pen => put Ben one_one   
But pull => put Bull one_one   
But pull => put Bull two_two   
But sell => set Bull two_two   
But well => wet Bull two_two   
But will => wit Bull two_two   
Butler Hill => Hitler Bull two_two   
Cal Ten => Tel Can two_two   
Cal den => del Can two_two   
Cal von => vol Can two_two   
Camp pure => pump Care two_two   
Camp push => pump Cash two_two   
Can Hope => Hon Cape two_two   
Can Most => Man Cost one_one   
Can Mount => Man Count one_one   
Can Royal => Roy Canal three_three   
Can Sir => San Cir one_one   
Can Some => San Come one_one   
Can Tel => Ten Cal two_two   
Can del => den Cal two_two   
Can fatal => fat Canal three_three   
Can fell => fan Cell one_one   
Can mere => men Care two_two   
Can metal => met Canal three_three   
Can mode => man Code one_one   
Can most => man Cost one_one   
Can nose => non Case two_two   
Can pipe => pin Cape two_two   
Can pity => pan City one_one   
Can play => pan Clay one_one   
Can post => pan Cost one_one   
Can rare => ran Care one_one   
Can rare => ran Care two_two   
Can rode => ran Code one_one   
Can rush => run Cash two_two   
Can sure => sun Care two_two   
Can vol => von Cal two_two   
Can wire => win Care two_two   
Can wise => win Case two_two   
Can wish => win Cash two_two   
Can wore => won Care two_two   
Canal Roy => Royal Can three_three   
Canal fat => fatal Can three_three   
Canal fire => final Care two_two   
Canal fish => final Cash two_two   
Canal met => metal Can three_three   
Cape Hon => Hope Can two_two   
Cape Porter => Pope Carter two_two   
Cape pin => pipe Can two_two   
Cape pose => pope Case two_two   
Cape rise => ripe Case two_two   
Cape rises => ripe Cases two_two   
Cape rose => rope Case two_two   
Cape tell => tape Cell one_one   
Cape them => tape Chem one_one   
Cape took => tape Cook one_one   
Care Fish => Fire Cash two_two   
Care Moses => More Cases two_two   
Care base => bare Case one_one   
Care base => bare Case two_two   
Care bases => bare Cases one_one   
Care bases => bare Cases two_two   
Care bell => bare Cell one_one   
Care book => bare Cook one_one   
Care brown => bare Crown one_one   
Care fill => file Carl three_three   
Care filter => file Carter three_three   
Care final => fire Canal two_two   
Care fish => fire Cash two_two   
Care matter => mate Carter three_three   
Care men => mere Can two_two   
Care mill => mile Carl three_three   
Care pump => pure Camp two_two   
Care push => pure Cash two_two   
Care ran => rare Can one_one   
Care ran => rare Can two_two   
Care rode => rare Code one_one   
Care roll => role Carl three_three   
Care sun => sure Can two_two   
Care tall => tale Carl three_three   
Care win => wire Can two_two   
Care winter => wine Carter three_three   
Care wise => wire Case two_two   
Care wish => wire Cash two_two   
Care won => wore Can two_two   
Carl Walter => Wall Carter three_three   
Carl file => fill Care three_three   
Carl filter => fill Carter three_three   
Carl mile => mill Care three_three   
Carl role => roll Care three_three   
Carl tale => tall Care three_three   
Carter Pope => Porter Cape two_two   
Carter Wall => Walter Carl three_three   
Carter file => filter Care three_three   
Carter fill => filter Carl three_three   
Carter mate => matter Care three_three   
Carter wine => winter Care three_three   
Case bare => base Care one_one   
Case bare => base Care two_two   
Case bell => base Cell one_one   
Case book => base Cook one_one   
Case brown => base Crown one_one   
Case gentle => gene Castle three_three   
Case hath => hate Cash three_three   
Case non => nose Can two_two   
Case pope => pose Cape two_two   
Case rich => rice Cash three_three   
Case ripe => rise Cape two_two   
Case rope => rose Cape two_two   
Case win => wise Can two_two   
Case wire => wise Care two_two   
Case wish => wise Cash two_two   
Case wish => wise Cash three_three   
Cases More => Moses Care two_two   
Cases bare => bases Care one_one   
Cases bare => bases Care two_two   
Cases bell => bases Cell one_one   
Cases book => bases Cook one_one   
Cases brown => bases Crown one_one   
Cases gentle => genes Castle three_three   
Cases glass => gases Class one_one   
Cases goal => gases Coal one_one   
Cases gross => gases Cross one_one   
Cases grown => gases Crown one_one   
Cases ripe => rises Cape two_two   
Cash Fire => Fish Care two_two   
Cash battle => bath Castle three_three   
Cash bottle => both Castle three_three   
Cash final => fish Canal two_two   
Cash fire => fish Care two_two   
Cash hate => hath Case three_three   
Cash pump => push Camp two_two   
Cash pure => push Care two_two   
Cash rice => rich Case three_three   
Cash run => rush Can two_two   
Cash well => wash Cell one_one   
Cash while => wash Chile one_one   
Cash win => wish Can two_two   
Cash wire => wish Care two_two   
Cash wise => wish Case two_two   
Cash wise => wish Case three_three   
Cash would => wash Could one_one   
Castle bath => battle Cash three_three   
Castle both => bottle Cash three_three   
Castle gene => gentle Case three_three   
Castle genes => gentle Cases three_three   
Cell Book => Bell Cook one_one   
Cell Brown => Bell Crown one_one   
Cell While => Well Chile one_one   
Cell Winter => Will Center two_two   
Cell Would => Well Could one_one   
Cell bare => bell Care one_one   
Cell base => bell Case one_one   
Cell bases => bell Cases one_one   
Cell book => bell Cook one_one   
Cell brown => bell Crown one_one   
Cell fan => fell Can one_one   
Cell home => hell Come one_one   
Cell host => hell Cost one_one   
Cell sir => sell Cir one_one   
Cell some => sell Come one_one   
Cell tape => tell Cape one_one   
Cell them => tell Chem one_one   
Cell took => tell Cook one_one   
Cell wash => well Cash one_one   
Cell while => well Chile one_one   
Cell winter => will Center two_two   
Cell would => well Could one_one   
Center Will => Winter Cell two_two   
Center will => winter Cell two_two   
Chap shorter => shop Charter three_three   
Charter shop => shorter Chap three_three   
Chem tape => them Cape one_one   
Chem tell => them Cell one_one   
Chem took => them Cook one_one   
Chile Well => While Cell one_one   
Chile Would => While Could one_one   
Chile wash => while Cash one_one   
Chile well => while Cell one_one   
Chile would => while Could one_one   
Cir San => Sir Can one_one   
Cir Some => Sir Come one_one   
Cir devil => der Civil two_two   
Cir sell => sir Cell one_one   
Cir some => sir Come one_one   
City pan => pity Can one_one   
City play => pity Clay one_one   
City post => pity Cost one_one   
Civil der => devil Cir two_two   
Class Greek => Glass Creek one_one   
Class Gross => Glass Cross one_one   
Class gases => glass Cases one_one   
Class goal => glass Coal one_one   
Class gray => grass Clay two_two   
Class gray => grass Clay three_three   
Class gross => glass Cross one_one   
Class grown => glass Crown one_one   
Class prey => press Clay three_three   
Clay grass => gray Class two_two   
Clay grass => gray Class three_three   
Clay pan => play Can one_one   
Clay pity => play City one_one   
Clay post => play Cost one_one   
Clay press => prey Class three_three   
Coal dust => dual Cost two_two   
Coal gases => goal Cases one_one   
Coal glass => goal Class one_one   
Coal gross => goal Cross one_one   
Coal grown => goal Crown one_one   
Coal rest => real Cost two_two   
Coast best => beast Cost two_two   
Code man => mode Can one_one   
Code most => mode Cost one_one   
Code most => mode Cost two_two   
Code ran => rode Can one_one   
Code rare => rode Care one_one   
Code time => tide Come two_two   
Come San => Some Can one_one   
Come Sir => Some Cir one_one   
Come fast => fame Cost two_two   
Come hell => home Cell one_one   
Come host => home Cost one_one   
Come host => home Cost two_two   
Come sell => some Cell one_one   
Come sir => some Cir one_one   
Come tide => time Code two_two   
Conference prevention => preference Convention three_three   
Consequently substitution => subsequently Constitution three_three   
Constitution subsequently => substitution Consequently three_three   
Convention preference => prevention Conference three_three   
Cook Bell => Book Cell one_one   
Cook Brown => Book Crown one_one   
Cook bare => book Care one_one   
Cook base => book Case one_one   
Cook bases => book Cases one_one   
Cook bell => book Cell one_one   
Cook brown => book Crown one_one   
Cook tape => took Cape one_one   
Cook tell => took Cell one_one   
Cook them => took Chem one_one   
Cost Man => Most Can one_one   
Cost Mount => Most Count one_one   
Cost Mount => Most Count two_two   
Cost beast => best Coast two_two   
Cost dual => dust Coal two_two   
Cost fame => fast Come two_two   
Cost hell => host Cell one_one   
Cost home => host Come one_one   
Cost home => host Come two_two   
Cost man => most Can one_one   
Cost mode => most Code one_one   
Cost mode => most Code two_two   
Cost pan => post Can one_one   
Cost pity => post City one_one   
Cost play => post Clay one_one   
Cost real => rest Coal two_two   
Could Well => Would Cell one_one   
Could While => Would Chile one_one   
Could wash => would Cash one_one   
Could well => would Cell one_one   
Could while => would Chile one_one   
Count Man => Mount Can one_one   
Count Most => Mount Cost one_one   
Count Most => Mount Cost two_two   
Creek Glass => Greek Class one_one   
Creek Gross => Greek Cross one_one   
Creek Gross => Greek Cross two_two   
Cross Glass => Gross Class one_one   
Cross Greek => Gross Creek one_one   
Cross Greek => Gross Creek two_two   
Cross gases => gross Cases one_one   
Cross glass => gross Class one_one   
Cross goal => gross Coal one_one   
Cross grown => gross Crown one_one   
Cross grown => gross Crown two_two   
Cross grown => gross Crown three_three   
Crown Bell => Brown Cell one_one   
Crown Book => Brown Cook one_one   
Crown bare => brown Care one_one   
Crown base => brown Case one_one   
Crown bases => brown Cases one_one   
Crown bell => brown Cell one_one   
Crown book => brown Cook one_one   
Crown gases => grown Cases one_one   
Crown glass => grown Class one_one   
Crown goal => grown Coal one_one   
Crown gross => grown Cross one_one   
Crown gross => grown Cross two_two   
Crown gross => grown Cross three_three   
DNA Rate => RNA Date one_one   
DNA Ray => RNA Day one_one   
DNA Ronald => RNA Donald one_one   
Dan Any => Ann Day two_two   
Dan Jean => Jan Dean one_one   
Dan May => Man Day one_one   
Dan May => Man Day two_two   
Dan Note => Non Date two_two   
Dan Son => San Don one_one   
Dan con => can Don one_one   
Dan fate => fan Date one_one   
Dan fate => fan Date two_two   
Dan fear => fan Dear one_one   
Dan guy => gun Day two_two   
Dan haste => has Dante three_three   
Dan mate => man Date one_one   
Dan mate => man Date two_two   
Dan may => man Day one_one   
Dan may => man Day two_two   
Dan mean => man Dean one_one   
Dan mid => man Did one_one   
Dan note => non Date two_two   
Dan pay => pan Day one_one   
Dan pay => pan Day two_two   
Dan pays => pan Days one_one   
Dan pays => pan Days two_two   
Dan per => pan Der one_one   
Dan pick => pan Dick one_one   
Dan quite => qui Dante three_three   
Dan rate => ran Date one_one   
Dan rate => ran Date two_two   
Dan ray => ran Day one_one   
Dan ray => ran Day two_two   
Dan rays => ran Days one_one   
Dan rays => ran Days two_two   
Dan rear => ran Dear one_one   
Dan rid => ran Did one_one   
Dan site => sin Date two_two   
Dan von => van Don one_one   
Dan vote => von Date two_two   
Dan waste => was Dante three_three   
Dante has => haste Dan three_three   
Dante qui => quite Dan three_three   
Dante was => waste Dan three_three   
Data Anne => Anna Date three_three   
Date Anna => Anne Data three_three   
Date Non => Note Dan two_two   
Date RNA => Rate DNA one_one   
Date Ray => Rate Day one_one   
Date Ray => Rate Day two_two   
Date Ronald => Rate Donald one_one   
Date fan => fate Dan one_one   
Date fan => fate Dan two_two   
Date fear => fate Dear one_one   
Date gay => gate Day one_one   
Date gay => gate Day two_two   
Date gear => gate Dear one_one   
Date goes => gate Does one_one   
Date hay => hate Day one_one   
Date hay => hate Day two_two   
Date hear => hate Dear one_one   
Date her => hate Der one_one   
Date man => mate Dan one_one   
Date man => mate Dan two_two   
Date may => mate Day one_one   
Date may => mate Day two_two   
Date mean => mate Dean one_one   
Date mid => mate Did one_one   
Date non => note Dan two_two   
Date ran => rate Dan one_one   
Date ran => rate Dan two_two   
Date ray => rate Day one_one   
Date ray => rate Day two_two   
Date rays => rate Days one_one   
Date rays => rate Days two_two   
Date rear => rate Dear one_one   
Date rid => rate Did one_one   
Date sin => site Dan two_two   
Date von => vote Dan two_two   
Day Ann => Any Dan two_two   
Day Man => May Dan one_one   
Day Man => May Dan two_two   
Day RNA => Ray DNA one_one   
Day Rate => Ray Date one_one   
Day Rate => Ray Date two_two   
Day Ronald => Ray Donald one_one   
Day bear => bay Dear one_one   
Day gate => gay Date one_one   
Day gate => gay Date two_two   
Day gear => gay Dear one_one   
